hood,population,num_stops,aggrigateMoney
St. Clair,270.0,2,3867600.0
Arlington Heights,272.0,2,2389600.0
New Homestead,973.0,6,27062600.0
East Carnegie,610.0,10,14945000.0
Chartiers City,560.0,12,13805200.0
Swisshelm Park,1345.0,12,43095600.0
Hays,405.0,14,6432200.0
Arlington,1852.0,14,35349900.0
Mt. Oliver,598.0,20,13962700.0
Allegheny West,343.0,22,23793300.0
Bon Air,920.0,22,22093100.0
Duquesne Heights,2522.0,24,91613300.0
Bedford Dwellings,1349.0,24,10529100.0
Oakwood,1058.0,24,25014900.0
Fineview,1270.0,26,25475500.0
Beechview,8078.0,28,193055900.0
Regent Square,1033.0,32,52288700.0
Banksville,3858.0,32,138084700.0
Windgap,1534.0,40,34609300.0
Westwood,3537.0,40,91857100.0
West End,235.0,44,3615800.0
Upper Hill,1884.0,44,39512800.0
Allentown,2558.0,44,38303700.0
California-Kirkbride,803.0,45,10718900.0
Stanton Heights,4761.0,56,134047100.0
Friendship,1840.0,56,47475400.0
Glen Hazel,716.0,58,4773300.0
Spring Garden,840.0,58,15833800.0
Esplen,309.0,64,5433900.0
Homewood West,850.0,66,11290000.0
Middle Hill,1760.0,66,27566200.0
Lincoln Place,3499.0,67,84551900.0
Spring Hill-City View,2456.0,70,46688500.0
Crafton Heights,3964.0,70,89278600.0
Terrace Village,2292.0,72,16879300.0
Perry North,3771.0,72,104107900.0
Northview Heights,1545.0,74,8755000.0
Knoxville,4255.0,74,60537300.0
Troy Hill,2283.0,78,77521600.0
Homewood North,3371.0,82,37727300.0
Summer Hill,1191.0,82,40337500.0
Elliott,2491.0,82,43215900.0
Point Breeze North,1732.0,86,59572300.0
Highland Park,6810.0,86,242405400.0
Garfield,3966.0,88,67632800.0
Manchester,1944.0,88,54372200.0
Marshall-Shadeland,6195.0,89,68871800.0
East Hills,2859.0,90,41528200.0
Beltzhoover,1702.0,92,28121300.0
Overbrook,3682.0,94,90146300.0
Central Northside,2892.0,97,96353500.0
Central Lawrenceville,4775.0,104,144917900.0
South Side Slopes,4583.0,112,123648400.0
Sheraden,5684.0,114,101081700.0
Upper Lawrenceville,2754.0,116,65738500.0
Polish Hill,1331.0,118,38888900.0
Carrick,10122.0,120,221221100.0
Lower Lawrenceville,2572.0,122,63562900.0
Morningside,3262.0,126,87871100.0
Homewood South,2276.0,126,29434400.0
Brighton Heights,7421.0,128,201692800.0
Central Oakland,5822.0,130,55528300.0
East Allegheny,2095.0,152,56433100.0
Point Breeze,5414.0,160,314958500.0
Perry South,3398.0,162,54989600.0
South Side Flats,6292.0,166,233098400.0
Allegheny Center,1411.0,184,39947000.0
Strip District,747.0,186,91738300.0
Hazelwood,4257.0,200,75829000.0
South Oakland,2921.0,214,47722300.0
Brookline,13160.0,222,366945900.0
Greenfield,7690.0,256,241377900.0
Mount Washington,8743.0,260,267100700.0
Crawford-Roberts,2225.0,262,34226600.0
Bluff,6294.0,264,11005200.0
Larimer,1641.0,266,18139300.0
North Shore,205.0,268,12397000.0
Lincoln-Lemington-Belmar,4955.0,282,91032900.0
Bloomfield,8669.0,286,249898900.0
East Liberty,5537.0,310,115711700.0
Squirrel Hill South,16042.0,342,659886300.0
West Oakland,1717.0,364,16339500.0
Shadyside,13562.0,376,605635700.0
Squirrel Hill North,11336.0,380,577467500.0
North Oakland,9602.0,404,123408700.0
Central Business District,4060.0,1218,210460000.0
